"filename", "language", "toml", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\tests.py", "Python", 0, 0, 1, 1, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\urls.py", "Python", 0, 0, 6, 0, 3, 9
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\apps\villes\views.py", "Python", 0, 0, 77, 2, 15, 94
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\common\__init__.py", "Python", 0, 0, 2, 0, 2, 4
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\common\api_metadata.py", "Python", 0, 0, 259, 1, 46, 306
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\common\filter_parser.py", "Python", 0, 0, 111, 15, 42, 168
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\common\response_handler.py", "Python", 0, 0, 93, 3, 12, 108
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\edito_rh_backend\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\edito_rh_backend\settings.py", "Python", 0, 0, 116, 30, 36, 182
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\edito_rh_backend\urls.py", "Python", 0, 0, 19, 15, 4, 38
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\edito_rh_backend\wsgi.py", "Python", 0, 0, 4, 8, 5, 17
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\manage.py", "Python", 0, 0, 15, 2, 5, 22
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\models.py", "Python", 0, 0, 160, 7, 49, 216
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\requirements.txt", "pip requirements", 0, 25, 0, 0, 0, 25
"c:\Users\YOUNESS\Desktop\projects\stages\group_edito\rh_project\edito_rh_projet\edito_rh_backend\routers\db_routers.py", "Python", 0, 0, 45, 12, 12, 69
"Total", "-", 8, 25, 3141, 369, 873, 4416
